tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy_current_month,infant_vacancy_next_month,infant_vacancy_third_month,infant_vacancy_fourth_month,infant_vacancy_fifth_month,infant_vacancy_sixth_month,infant_vacancy_seventh_month,pg_vacancy_current_month,pg_vacancy_next_month,pg_vacancy_third_month,pg_vacancy_fourth_month,pg_vacancy_fifth_month,pg_vacancy_sixth_month,pg_vacancy_seventh_month,n1_vacancy_current_month,n1_vacancy_next_month,n1_vacancy_third_month,n1_vacancy_fourth_month,n1_vacancy_fifth_month,n1_vacancy_sixth_month,n1_vacancy_seventh_month,n2_vacancy_current_month,n2_vacancy_next_month,n2_vacancy_third_month,n2_vacancy_fourth_month,n2_vacancy_fifth_month,n2_vacancy_sixth_month,n2_vacancy_seventh_month,k1_vacancy_current_month,k1_vacancy_next_month,k1_vacancy_third_month,k1_vacancy_fourth_month,k1_vacancy_fifth_month,k1_vacancy_sixth_month,k1_vacancy_seventh_month,k2_vacancy_current_month,k2_vacancy_next_month,k2_vacancy_third_month,k2_vacancy_fourth_month,k2_vacancy_fifth_month,k2_vacancy_sixth_month,k2_vacancy_seventh_month,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks
na,YM0189,MY WORLD PRESCHOOL LTD,YM,MY World Preschool Ltd,CC,69884513,bbwestplains1@myworld.org.sg,"463,BUKIT BATOK STREET 41,#01-01,650463",650463,www.myworld.org.sg,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,8/1/2025,na
na,PT8687,JOYSTAR PRESCHOOL @ BEDOK CENTRAL,PT,Private Operators,CC,88141309,enquiriesjoystar@gmail.com,"219,BEDOK CENTRAL,#01-140A,MULTI STOREY CAR PARK,460219",460219,na,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:30,07:00-14:00,na,No,No,Yes,No,8/1/2025,na
TP0173,PT9456,Small Wonder Preschool @Bukit Batok East,PT,Private Operators,CC,66554128,noralatiff@springbrainykidz.com,"296A,BUKIT BATOK STREET 22,#01-56,SKYLINE II @ BUKIT BATOK,651296",651296,na,Available,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Full,Full,Full,Available,Available,Available,Available,Available,Available,Limited,Full,Full,Full,Full,Full,Full,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Partner Operator Scheme,No,No,Yes,No,8/1/2025,na
na,YM0175,MY WORLD PRESCHOOL LTD,YM,MY World Preschool Ltd,CC,68037893,marsilinggreenview@myworld.org.sg,"183A,WOODLANDS STREET 13,#02-635,MARSILING GREENVIEW,731183",731183,www.myworld.org.sg,Full,Limited,Limited,Limited,Limited,Limited,Full,Available,Available,Available,Available,Available,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,8/1/2025,na
na,NT0548,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,INFO@MYFIRSTSKOOL.COM,"236,LORONG 1 TOA PAYOH,#01-66,310236",310236,https://www.myfirstskool.com/TP5-lifesg,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,8/1/2025,na
na,ST0257,PCF Sparkletots Preschool @ Changi Simei Blk 131 (KN),ST,PCF Sparkletots Preschool Limited,KN,67825618,CH.KN.131@pcf.org.sg,"131,Simei Street 1,#01-208,520131",520131,www.pcf.org.sg/sparkletots/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Available,Available,Available,Available,Available,Limited,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,08:00-17:00,na,Anchor Operator Scheme,No,No,Yes,Yes,8/1/2025,na
na,PT8676,CARPE DIEM @ HILLTOP PTE. LTD.,PT,Private Operators,CC,64580585,hilltop@carpediem.com.sg,"701,YIO CHU KANG ROAD,787087",787087,www.carpediem.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,8/1/2025,na
na,PT9090,Little Footprints Preschool Pte Ltd,PT,Private Operators,CC,68171393,lfp_bedokreservoir@babilou-family.sg,"743,BEDOK RESERVOIR ROAD,#02-3083,470743",470743,www.littlefootprints.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,na,No,No,Yes,Yes,8/1/2025,na
na,PT9656,MAPLEBEAR ADAM,PT,Private Operators,CC,89237837,adam@mynt.sg,"1,DUNEARN CLOSE,299574",299574,https://www.mynt.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,Yes,Yes,No,8/1/2025,na
na,PT8688,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,PT,Private Operators,CC,68171393,lfp_woodlands551@babilou-family.sg,"551,WOODLANDS DRIVE 44,#01-42,730551",730551,www.littlefootprints.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,No,8/1/2025,na
na,YM0158,MY WORLD PRESCHOOL LTD.,YM,MY World Preschool Ltd,CC,62982543,stgeorges@myworld.org.sg,"14,ST. GEORGE'S ROAD,#01-70,320014",320014,www.myworld.org.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,8/1/2025,na
na,PT9579,Lodestar Montessori Preschool Pte Ltd,PT,Private Operators,KN,62418985,mary@lodestarmontessori.com,"23,JALAN TELITI,537319",537319,www.lodestarmontessori.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Others,Chinese,No,08:30-15:30,na,na,No,Yes,Yes,No,8/1/2025,na
na,YM0193,MY WORLD PRESCHOOL LTD.,YM,MY World Preschool Ltd,CC,69963498,bbwestplains2@myworld.org.sg,"463A,BUKIT BATOK STREET 41,#01-13,WEST PLAINS @ BUKIT BATOK,651463",651463,www.myworld.org.sg,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,8/1/2025,na
na,PT7900,EILEEN'S LEARNING CENTRE PTE. LTD.,PT,Private Operators,CC,67864484,elfatampines@gmail.com,"866A,TAMPINES STREET 83,#04-01,TAMPINES CENTRAL COMMUNITY COMPLEX,521866",521866,https://elfapreschools.com/singapore/tampines/,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,Yes,Yes,Yes,8/1/2025,na
na,PT9380,EILEEN'S EDUCATION HUB PTE LTD,PT,Private Operators,CC,63847747,kinderlandloyang@singnet.com.sg,"258,PASIR RIS STREET 21,#02-23,LOYANG POINT,510258",510258,https://kinderland.com.sg/kinderland-loyang-point/,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,No,8/1/2025,na
na,RC1809,Al-Istighfar Mosque Kindergarten,RC,Not-for-Profit Organisation,KN,64267149,nuramalina@alistighfar.mosque.sg,"2,PASIR RIS WALK,#03-01,MASJID AL-ISTIGHFAR,518239",518239,https://www.alistighfar.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Malay|Others: Basic Arabic,No,08:00-17:00,na,na,No,Yes,Yes,No,8/1/2025,na
na,PT9228,ISLANDER PRE-SCHOOL PTE LTD,PT,Private Operators,CC,86998876,samantha.maresca@etonhouse.edu.sg,"31,BEACH VIEW,#03-01,Palawan Kidz City,098008",098008,https://www.etonhouse.edu.sg/school/beach/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,Yes,8/1/2025,na
na,SK0031,Skool4Kidz Preschool,SK,Skool4Kidz Pte Ltd,CC,62802272,ubgv@skool4kidz.com.sg,"357,UBI ROAD 3,#01-01,UBI GROVE,400357",400357,https://skool4kidz.com.sg/,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,7/1/2025,na
na,PT9447,Little Paddington Preschool Thomson Walk Pte. Ltd.,PT,Private Operators,CC,92353964,vijayashree@littlepaddington.com,"22,THOMSON WALK,HAPPY PARK,574469",574469,na,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,No,7/1/2025,na
na,PT8572,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,PT,Private Operators,CC,68171393,lfp_potongpasir@babilou-family.sg,"13,SIANG KUANG AVENUE,SENNETT ESTATE,347931",347931,https://littlefootprints.edu.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Full,Full,Full,Available,Available,Available,Available,Full,Full,Full,Available,Available,Available,Available,Full,Full,Full,Available,Available,Available,Available,Full,Full,Full,Available,Available,Available,Available,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,No,7/1/2025,na
na,PT9324,STAR LEARNERS @ HOUGANG PTE LTD,PT,Private Operators,CC,62500173,INFO@STARLEARNERS.COM.SG,"8,ST. XAVIER'S LANE,535736",535736,https://starlearners.com.sg/our-centres/hougang-preschool/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,7/1/2025,na
na,PT8808,HOUSE ON THE HILL PTE LTD,PT,Private Operators,CC,63374635,mountsophia@houseonthehill.com.sg,"33,Mount Sophia,Sophia Hills ,228481",228481,https://houseonthehill.com.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,Yes,Yes,Yes,7/1/2025,na
na,PT9753,Brilliant Tots @ Kensington,PT,Private Operators,CC,88703737,brillianttots.kensington@gmail.com,"2,JALAN LOKAM,#01-37,KENSINGTON SQUARE,537846",537846,www.BrilliantTots.com.sg,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,Yes,Yes,No,7/1/2025,na
na,PT9460,Blue House Childcare,PT,Private Operators,CC,64455765,principal.rb@bluehouseinternational.com,"17,RAMBAI ROAD,424336",424336,www.bluehouseinternational.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Full,Full,Full,Limited,Limited,Limited,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,7/1/2025,na
na,RC1840,Paya Lebar Methodist Church Covenant Kindergarten,RC,Not-for-Profit Organisation,KN,62853730,kindergarten@plmc.org,"5,BOUNDARY ROAD,549954",549954,na,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Others,Chinese,Yes,08:00-15:30,na,na,No,Yes,Yes,Yes,7/1/2025,na
na,RC1758,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,RC,Not-for-Profit Organisation,CC,63383433,ELIZABETH.CHOW@RUBYGROUP.COM.SG,"151,JALAN TECK WHYE,#01-29,680151",680151,http://chowsgroup.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,No,7/1/2025,na
na,RC1775,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,RC,Not-for-Profit Organisation,CC,63383433,ELIZABETH.CHOW@RUBYGROUP.COM.SG,"542,CHOA CHU KANG STREET 52,#01-66,680542",680542,http://chowsgroup.com.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,No,7/1/2025,na
na,RC1884,BETHESDA CHAPEL KINDERGARTEN,RC,Not-for-Profit Organisation,KN,97539280,principal@bethesdachapel.org,"27,LORONG MELAYU,416913",416913,WWW.bck.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,na,Chinese,No,08:30-12:30,na,na,No,Yes,Yes,No,7/1/2025,na
na,KM0039,MOE KINDERGARTEN @ JUNYUAN,KM,MOE Kindergarten,KN,67830375,rasyidah_rosdi@schools.gov.sg,"2,TAMPINES STREET 91,JUNYUAN PRIMARY SCHOOL,528906",528906,https://junyuanpri.moe.edu.sg/home,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Halal Food With No Beef (with Certification from MUIS),Chinese|Malay|Tamil,No,07:00-19:00,na,na,No,No,Yes,Yes,7/1/2025,na
TP0107,YM0170,MY WORLD PRESCHOOL LTD,YM,MY World Preschool Ltd,CC,63974927,tenterampeak@myworld.org.sg,"116,JALAN TENTERAM,#01-07,MULTI STOREY CAR PARK,320116",320116,www.myworld.org.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Limited,Limited,Limited,Limited,Full,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,7/1/2025,na
na,PT9271,Little Footprints Preschool Group Pte Ltd,PT,Private Operators,CC,68171393,lfp_tampines460@babilou-family.sg,"460,TAMPINES STREET 42,#01-312,520460",520460,www.littlefooprints.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,7/1/2025,na
na,PT9700,Grace House Kindergarten,PT,Private Operators,CC,68998851,gh_bukitbatok@gracehouse.com.sg,"1,Bt Batok West Ave 4,#04-01,659125",659125,http://www.gracehouse.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,Yes,7/1/2025,na
na,PT8364,SUNFLOWER KINDERHUB PTE LTD,PT,Private Operators,CC,92992713,kh-serene@sunflowerkid.com,"1 & 3,Stratton Road,806787",806787,http://www.sunflowerkid.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Partner Operator Scheme,No,Yes,Yes,No,6/1/2025,na
na,PT8726,Little Footprints Preschool Pte Ltd,PT,Private Operators,CC,68171393,lfp_kentridge@babilou-family.sg,"89,SCIENCE PARK DRIVE,#01-11,THE RUTHERFORD,118261",118261,www.littlefootprints.edu.sg,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,Available,Available,Available,Available,Available,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,Yes,Yes,Yes,6/1/2025,na
na,PT8967,IKIDS WORLD PTE. LTD.,PT,Private Operators,CC,64814220,ik-sarah@sunflowerkid.com,"35,SARACA ROAD,SELETAR HILLS ESTATE,807381",807381,https://www.sunflowerkid.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Partner Operator Scheme,No,Yes,Yes,No,6/1/2025,na
na,PT9024,Little Footprints Preschool Group Pte Ltd,PT,Private Operators,CC,68171393,lfp_bishan@babilou-family.sg,"140,BISHAN STREET 12,#01-484,BISHAN GREEN,570140",570140,www.littlefootprints.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,6/1/2025,na
na,PT9023,Little Footprints Preschool Group Pte Ltd,PT,Private Operators,CC,68171393,lfp_serangooncentral@babilou-family.sg,"255,SERANGOON CENTRAL DRIVE,#01-50,550255",550255,https://littlefootprints.edu.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Full,Full,Full,Available,Limited,Limited,Limited,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,6/1/2025,na
na,PT9245,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,PT,Private Operators,CC,68171393,lfp_punggolbeach@babilou-family.sg,"33,PONGGOL TWENTY-FOURTH AVENUE,829498",829498,www.littlefootprints.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,6/1/2025,na
